First Name,Last Name,Position,Jersey,Team,Games Played,Points,Scoring Points,Total Goals,1Pt Goals,2Pt Goals,Assists,Shots,Shooting %,Shots On Goal,Shots On Goal %,2Pt Shots,2Pt Shots %,2Pt Shots On Goal,2Pt Shots On Goal %,Turnovers,Caused Turnovers,Groundballs,Touches,Passes,Faceoff %,Faceoffs Won,Faceoffs Lost,Faceoffs,Scores Against Average,Saves,Save %,Clean Saves,Clean Save %,Scores Against,2Pt Goals Against,Penalties,Penalties (in minutes),Power Play Goals,Power Play Shots,Power Play Goals Against,Short Handed Goals,Short Handed Shots,Unassisted Goals,Assisted Goals
Justin,Inacio,FO,45,Chaos,7,3,2,2,2,0,1,11,0.18,5,0.45,1,0,1,1,8,0,72,62,43,0.6,103,65,169,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0
Brett,Makar,D,43,Atlas,9,3,3,2,1,1,0,8,0.25,3,0.37,4,0.25,2,0.5,2,8,21,76,66,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0
Christian,Scarpello,SSDM,50,Waterdogs,5,3,3,3,3,0,0,3,1,3,1,0,0,0,0,3,0,6,26,20,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Cam,Wyers,D,20,Archers,8,3,2,2,2,0,1,3,0.66,3,1,1,0,1,1,6,4,7,27,18,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,1,1
Connor,Maher,SSDM,31,Archers,10,3,1,1,1,0,2,2,0.5,1,0.5,1,0,0,0,3,3,12,57,52,0.12,1,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Piper,Bond,SSDM,54,Archers,10,3,2,2,2,0,1,6,0.33,4,0.66,0,0,0,0,8,6,15,101,87,0.15,2,11,13,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,2
Jake,Bernhardt,SSDM,83,Whipsnakes,10,2,2,1,0,1,0,5,0.2,2,0.4,3,0.33,1,0.33,3,1,8,53,45,0.14,2,12,14,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,1,0
Danny,Logan,SSDM,91,Atlas,9,2,1,1,1,0,1,3,0.33,1,0.33,1,0,0,0,3,2,12,61,55,0.16,2,10,12,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,1
Joseph,Nardella,FO,91,Whipsnakes,10,2,2,2,2,0,0,5,0.4,3,0.6,0,0,0,0,5,4,58,83,73,0.59,144,95,241,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,2,0
Mikie,Schlosser,M,59,Waterdogs,3,2,2,2,2,0,0,6,0.33,5,0.83,1,0,0,0,2,0,1,30,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
