First Name,Last Name,Position,Jersey,Team,Games Played,Points,Scoring Points,Total Goals,1Pt Goals,2Pt Goals,Assists,Shots,Shooting %,Shots On Goal,Shots On Goal %,2Pt Shots,2Pt Shots %,2Pt Shots On Goal,2Pt Shots On Goal %,Turnovers,Caused Turnovers,Groundballs,Touches,Passes,Faceoff %,Faceoffs Won,Faceoffs Lost,Faceoffs,Scores Against Average,Saves,Save %,Clean Saves,Clean Save %,Scores Against,2Pt Goals Against,Penalties,Penalties (in minutes),Power Play Goals,Power Play Shots,Power Play Goals Against,Short Handed Goals,Short Handed Shots,Unassisted Goals,Assisted Goals
Josh,Balcarcel,M,34,Redwoods,1,2,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Logan,Wisnauskas,A,12,Outlaws,1,2,2,2,2,0,0,3,0.66,2,0.66,0,0,0,0,0,0,0,32,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
Jackson,Eicher,A,19,Chaos,1,2,2,2,2,0,0,7,0.28,3,0.42,1,0,1,1,1,1,0,25,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1
Chris,Aslanian,M,3,Chaos,1,2,2,2,2,0,0,6,0.33,5,0.83,2,0,2,1,0,0,0,29,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
Ross,Scott,M,15,Chaos,1,2,2,2,2,0,0,6,0.33,3,0.5,0,0,0,0,2,0,3,26,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
Mac,O'Keefe,A,7,Archers,2,2,1,1,1,0,1,10,0.1,7,0.7,1,0,1,1,2,0,0,38,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1
Beau,Pederson,SSDM,89,Archers,2,2,1,1,1,0,1,1,1,1,1,0,0,0,0,2,2,5,17,14,0.5,1,1,2,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,1
Joe,Juengerkes,SSDM,15,Whipsnakes,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam,Poitras,M,51,Whipsnakes,1,1,1,1,1,0,0,5,0.2,3,0.6,0,0,0,0,0,0,2,26,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
Dylan,Hess,SSDM,8,Waterdogs,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,3,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Matt,Whitcher,SSDM,33,Waterdogs,1,1,1,1,1,0,0,2,0.5,1,0.5,0,0,0,0,0,0,1,5,3,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,1,0
Aidan,Danenza,M,88,Redwoods,1,1,0,0,0,0,1,5,0,3,0.6,2,0,1,0.5,1,1,1,31,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Brian,Tevlin,SSDM,12,Redwoods,1,1,0,0,0,0,1,3,0,1,0.33,0,0,0,0,0,1,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brayden,Mayea,A,55,Redwoods,1,1,1,1,1,0,0,3,0.33,2,0.66,0,0,0,0,0,0,2,28,25,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1
Luke,Wierman,FO,52,Outlaws,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,6,6,0.5,9,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan,Donville,M,3,Outlaws,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,27,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dalton,Young,M,11,Outlaws,1,1,0,0,0,0,1,3,0,1,0.33,0,0,0,0,0,0,0,20,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Graham,Bundy,M,0,Outlaws,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,3,0,4,17,13,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,1
Ray,Dearth,SSDM,9,Chaos,1,1,1,1,1,0,0,2,0.5,1,0.5,0,0,0,0,0,0,2,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Peter,Detwiler,SSDM,32,Chaos,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,2,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Teddy,Malone,A,26,Chaos,1,1,1,1,1,0,0,2,0.5,1,0.5,0,0,0,0,0,0,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
